ZINC22129820; 0.966; O=C(c1ccccc1)CC[N+](=O)[O-]
ZINC01595433; 0.947; C[C@H]([N+](=O)[O-])CC(=O)c1ccccc1
ZINC06442867; 0.896; C[C@@H]([N+](=O)[O-])CC(=O)c1ccccc1
ZINC22129821; 0.888; CCC([N+](=O)[O-])CC(=O)c1ccccc1
ZINC22129822; 0.880; CC[C@@H]([N+](=O)[O-])CC(=O)c1ccccc1
ZINC95932479; 0.842; CC([C@H]([N+](=O)[O-])CC(=O)c1ccccc1)C
ZINC00296169; 0.836; ONC(=O)[C@H](Cc1ccccc1)C
ZINC95932480; 0.832; CC([C@@H]([N+](=O)[O-])CC(=O)c1ccccc1)C
ZINC71778066; 0.794; [O-][N+](=O)CCC(=O)c1ccc(cc1Cl)Cl
ZINC41284889; 0.720; ONC(=O)CC(c1ccccc1)c1ccccc1
ZINC00296171; 0.704; ONC(=O)C(Cc1ccccc1)C
ZINC19428852; 0.699; CC[C@H](c1ccccc1)C(=O)NO
ZINC19428853; 0.699; CCC(c1ccccc1)C(=O)NO
ZINC82163964; 0.650; O=CC([C@@H](c1ccccc1)C[N+](=O)[O-])(C)C
ZINC82163962; 0.637; O=CC([C@H](c1ccccc1)C[N+](=O)[O-])(C)C
ZINC00396373; 0.564; NC(=O)C(C(=O)N)Cc1ccccc1
ZINC48356480; 0.516; CONC(=O)CCc1ccc(cc1)C
ZINC13011454; 0.477; CONC(=O)CC(c1ccccc1)c1ccccc1
ZINC01733985; 0.455; O=C(C(c1ccccc1)c1ccccc1)C(=O)N
ZINC89420513; 0.423; CONC(=O)[C@@H]1C[C@H]1c1cccc2c1cccc2
ZINC39198875; 0.420; NC(=O)CCc1ccc(cc1)Br
ZINC27617505; 0.404; NC(=O)CCc1ccc(cc1)N
ZINC83427530; 0.397; NC(=O)[C@@H](Cc1ccc(cc1)N)C
ZINC89420512; 0.393; CONC(=O)[C@H]1C[C@@H]1c1cccc2c1cccc2
ZINC83427528; 0.384; NC(=O)[C@H](Cc1ccc(cc1)N)C
ZINC04962622; 0.380; ONC(=O)CCCc1ccccc1
