ZINC01631021; 0.998; O=C(c1cccc(c1O)[N+](=O)[O-])Nc1c(C)cccc1Cl
ZINC04014066; 0.992; Clc1cc(C(=O)Nc2ccccc2C)c(c(c1)[N+](=O)[O-])O
ZINC04014064; 0.984; Clc1cc(C(=O)Nc2cccc(c2)C)c(c(c1)[N+](=O)[O-])O
ZINC04014068; 0.977; Cc1ccc(c(c1)C)NC(=O)c1cc(Cl)cc(c1O)[N+](=O)[O-]
ZINC01634301; 0.976; Clc1ccc(c(c1)Cl)NC(=O)c1cccc(c1O)[N+](=O)[O-]
ZINC01848291; 0.974; Clc1ccc(cc1)NC(=O)c1cccc(c1O)[N+](=O)[O-]
ZINC04014258; 0.974; Clc1cc(C(=O)Nc2ccc(cc2C)[N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
ZINC04014083; 0.973; Clc1cc(C(=O)Nc2cccc3c2cccc3)c(c(c1)[N+](=O)[O-])O
ZINC03154491; 0.971; Clc1cc(C(=O)Nc2ccccc2Cl)c(c(c1)[N+](=O)[O-])O
ZINC04993617; 0.964; Cc1ccc(c(c1)C)NC(=O)c1cc(cc(c1O)Cl)[N+](=O)[O-]
ZINC03156692; 0.963; Clc1cc(C(=O)Nc2ccccc2)c(c(c1)[N+](=O)[O-])O
ZINC16101890; 0.961; Clc1cc(C(=O)Nc2cc(Cl)ccc2Cl)c(c(c1)[N+](=O)[O-])O
ZINC04014070; 0.959; COc1ccc(cc1)NC(=O)c1cc(Cl)cc(c1O)[N+](=O)[O-]
ZINC03151759; 0.958; Clc1ccc(c(c1)Cl)NC(=O)c1cc(Cl)cc(c1O)[N+](=O)[O-]
ZINC04014081; 0.958; COc1cccc(c1)NC(=O)c1cc(Cl)cc(c1O)[N+](=O)[O-]
ZINC01580816; 0.958; CCc1ccccc1NC(=O)c1cccc(c1O)[N+](=O)[O-]
ZINC04014072; 0.958; CC(=O)Nc1ccc(cc1)NC(=O)c1cc(Cl)cc(c1O)[N+](=O)[O-]
ZINC03154492; 0.954; Clc1ccc(cc1)NC(=O)c1cc(Cl)cc(c1O)[N+](=O)[O-]
ZINC57294248; 0.952; Clc1cc(C(=O)NCc2ccccc2)c(c(c1)[N+](=O)[O-])O
ZINC03154506; 0.952; Clc1cc(C(=O)NCc2ccccc2)c(c(c1)[N+](=O)[O-])O
ZINC16101899; 0.951; Brc1cc(C(=O)Nc2ccccc2Cl)c(c(c1)[N+](=O)[O-])O
ZINC03154500; 0.950; Cc1ccc(cc1)NC(=O)c1cc(cc(c1O)Cl)[N+](=O)[O-]
ZINC95979904; 0.949; CCN(C(=O)c1cccc(c1O)[N+](=O)[O-])c1ccccc1
ZINC04014076; 0.948; Clc1cc(C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
ZINC03149531; 0.948; Cc1ccccc1NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ZINC18194853; 0.943; Clc1ccccc1NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ZINC03145114; 0.940; Cc1ccc(c(c1)C)NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ZINC16101892; 0.938; Clc1cc(C(=O)Nc2ccc(c(c2)Cl)Cl)c(c(c1)[N+](=O)[O-])O
ZINC03154499; 0.938; Cc1cccc(c1)NC(=O)c1cc(cc(c1O)Cl)[N+](=O)[O-]
ZINC04014074; 0.934; Clc1cc(C(=O)Nc2ccc(cc2)[N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
ZINC03156558; 0.932; Oc1ccc(cc1C(=O)Nc1ccccc1C)[N+](=O)[O-]
ZINC03154497; 0.927; Clc1ccccc1NC(=O)c1cc(cc(c1O)Cl)[N+](=O)[O-]
ZINC03154488; 0.924; Cc1ccc(c(c1)C)NC(=O)c1cc(ccc1O)[N+](=O)[O-]
ZINC03149529; 0.923; Cc1ccc(cc1)NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ZINC03145111; 0.922; Clc1ccc(c(c1)Cl)NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ZINC03110411; 0.921; [O-][N+](=O)c1cc(C(=O)Nc2cccc3c2cccc3)c(c(c1)[N+](=O)[O-])O
ZINC04014048; 0.919; Oc1ccc(cc1C(=O)Nc1ccccc1Cl)[N+](=O)[O-]
ZINC95979949; 0.919; O=C(c1cccc(c1O)[N+](=O)[O-])Nc1cnccc1C
ZINC03149667; 0.919; Clc1cc(C(=O)Nc2cccc(c2)[N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
ZINC03145112; 0.917; Clc1ccc(c(c1)NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])Cl
ZINC01848285; 0.912; Clc1ccc(cc1)NC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ZINC03149528; 0.911; O=C(c1cc(ccc1O)[N+](=O)[O-])Nc1cccc2c1cccc2
