Name;Score;T. Energy;I. Energy;vdW Energy;Electrostatic Energy;RMSD
ligand_9bb265fe2c_1;-7.633;26.235;-31.950;7.779;-39.729;0.000
ligand_acbff919f8_1;-7.527;22.192;-30.581;8.856;-39.437;0.000
ligand_246295c4f9_1;-7.502;-12.060;-26.973;-16.665;-10.308;0.000
ligand_58672ea592_1;-7.495;-12.704;-27.373;-15.534;-11.839;0.000
ligand_6d36e4b4cc_1;-7.357;37.046;-34.465;13.780;-48.245;0.000
ligand_07937df439_1;-7.272;-10.220;-24.362;-15.849;-8.513;0.000
ligand_b7e5dce9e2_1;-7.220;6.279;-53.231;66.247;-119.478;0.000
ligand_d6ba968dbe_1;-7.211;1.141;-25.588;-16.816;-8.772;0.000
ligand_97f425cd0_1;-7.207;-13.035;-26.419;-18.334;-8.085;0.000
ligand_a8294a0a1c_1;-7.188;2.334;-23.865;-15.254;-8.611;0.000
ligand_2c545ef4c1_1;-6.776;32.560;-21.977;-9.984;-11.993;0.000
ligand_a13603ff4a_1;-6.634;-6.369;-49.251;67.198;-116.449;0.000
ligand_153698eba3_1;-6.254;1.920;-49.391;68.303;-117.694;0.000
ligand_1a14893726_1;-5.919;6.215;-45.543;75.140;-120.683;0.000
